Designator,Mid X,Mid Y,Rotation,Layer
L3,67.2592,-65.9384,90.0,top
L4,65.2272,-65.9384,90.0,top
LED1,155.194,-152.4622,90.0,top
LED10,68.6816,-146.699,90.0,top
LED11,71.9836,-146.7104,90.0,top
LED12,75.2856,-146.7104,90.0,top
LED2,158.5468,-152.4527,90.0,top
LED3,161.8488,-152.4622,90.0,top
LED4,165.0654,-152.4622,90.0,top
LED5,161.036,-49.53,270.0,top
LED6,157.6324,-49.53,270.0,top
LED7,154.178,-49.53,270.0,top
LED8,150.7236,-49.53,270.0,top
LED9,65.3796,-146.699,90.0,top
MARK1,54.0,-144.5,0.0,top
MARK2,236.0,-145.5,0.0,top
MARK3,236.0,-41.0,0.0,top
MARK4,140.0,-34.0,270.0,top
POWER1,54.102,-60.579,90.0,top
Q1,66.7004,-152.1968,180.0,top
R1,61.4172,-34.9504,0.0,top
R10,97.536,-33.8328,270.0,top
R100,217.17,-33.665,90.0,top
R101,217.17,-41.539,90.0,top
R102,225.552,-33.538,90.0,top
R103,225.552,-41.412,90.0,top
R104,225.552,-45.857,90.0,top
R105,225.552,-53.731,90.0,top
R106,217.17,-46.1264,90.0,top
R107,217.17,-52.2224,90.0,top
R108,233.553,-45.857,90.0,top
R109,233.553,-53.731,90.0,top
R11,95.4532,-33.8328,270.0,top
R110,224.155,-116.586,180.0,top
R111,229.489,-116.586,180.0,top
R112,234.823,-116.586,180.0,top
R113,224.155,-123.571,180.0,top
R114,228.473,-123.571,180.0,top
R115,232.918,-123.571,0.0,top
R116,237.109,-123.571,180.0,top
R117,224.155,-130.556,180.0,top
R118,229.616,-130.556,180.0,top
R119,234.95,-130.556,180.0,top
R12,90.5764,-51.4604,270.0,top
R120,224.155,-137.541,180.0,top
R121,229.616,-137.541,180.0,top
R122,234.95,-137.541,0.0,top
R123,178.6625,-32.37,0.0,top
R124,181.4565,-36.434,270.0,top
R125,188.087,-32.385,0.0,top
R126,190.881,-36.449,270.0,top
R127,197.485,-32.385,0.0,top
R128,200.279,-36.322,270.0,top
R129,206.883,-32.385,0.0,top
R13,88.6968,-33.8328,270.0,top
R130,209.677,-36.322,270.0,top
R131,102.6712,-121.4628,90.0,top
R132,64.3636,-89.1032,0.0,top
R133,64.3636,-90.932,0.0,top
R134,69.9008,-142.2889,270.0,top
R135,71.6788,-142.2889,270.0,top
R136,73.5076,-142.2889,270.0,top
R137,75.2856,-142.2889,270.0,top
R138,70.9168,-151.2316,180.0,top
R139,70.9168,-153.162,180.0,top
R14,86.5124,-33.8328,270.0,top
R140,99.1616,-146.558,0.0,top
R141,99.1616,-148.4884,0.0,top
R142,99.1616,-150.4696,0.0,top
R143,99.1616,-152.4,0.0,top
R144,187.6044,-113.0808,90.0,top
R145,190.6016,-113.03,90.0,top
R146,193.5988,-113.03,90.0,top
R147,196.596,-112.9792,90.0,top
R148,199.5932,-112.9265,90.0,top
R149,218.2368,-84.582,180.0,top
R15,80.1116,-51.4604,270.0,top
R150,218.2368,-82.7532,180.0,top
R151,218.2368,-80.9244,180.0,top
R152,221.742,-67.31,180.0,top
R153,221.742,-70.358,180.0,top
R154,220.7768,-62.3316,270.0,top
R155,220.7768,-58.4708,270.0,top
R156,217.678,-62.3316,270.0,top
R157,217.678,-58.4708,270.0,top
R158,69.6468,-122.9868,90.0,top
R159,67.9196,-122.9868,90.0,top
R16,110.9218,-33.717,270.0,top
R160,180.7464,-113.0808,270.0,top
R161,177.6984,-113.0808,270.0,top
R162,174.7012,-113.0808,270.0,top
R163,71.3232,-122.9868,90.0,top
R164,215.4936,-58.4708,90.0,top
R165,194.5132,-92.1004,180.0,top
R166,194.5132,-90.424,180.0,top
R167,194.5113,-88.7176,180.0,top
R168,194.5113,-87.0204,180.0,top
R169,194.5113,-85.2932,180.0,top
R17,102.6668,-37.5412,270.0,top
R170,172.8724,-113.0789,90.0,top
R171,169.8244,-113.0808,90.0,top
R172,166.7764,-113.0808,90.0,top
R173,151.876565,-112.813265,0.0,top
R174,151.878465,-110.984465,0.0,top
R175,151.878465,-109.155665,0.0,top
R176,151.878465,-107.326865,0.0,top
R177,132.6369,-101.092,180.0,top
R178,132.6369,-99.3648,180.0,top
R179,132.6369,-97.5868,180.0,top
R18,104.648,-37.5412,270.0,top
R180,128.3208,-58.9788,90.0,top
R181,126.3904,-58.9788,90.0,top
R182,72.9996,-122.9868,90.0,top
R183,124.46,-58.9788,90.0,top
R184,130.2004,-58.9788,90.0,top
R185,132.1054,-58.9788,90.0,top
R186,134.0104,-58.9788,90.0,top
R187,135.89,-58.9788,90.0,top
R188,110.5916,-100.33,180.0,top
R189,110.6424,-118.5672,0.0,top
R19,116.862156,-46.013843,180.0,top
R190,110.6424,-115.9764,0.0,top
R191,110.5916,-98.552,180.0,top
R192,110.5916,-96.774,180.0,top
R193,110.5916,-94.9452,180.0,top
R194,110.6424,-107.8992,0.0,top
R195,110.5916,-103.2764,0.0,top
R196,110.6424,-109.728,0.0,top
R197,110.5916,-105.0036,0.0,top
R198,68.1228,-142.2908,270.0,top
R199,66.3956,-142.2908,270.0,top
R2,70.9168,-41.3512,270.0,top
R20,106.6292,-37.5412,270.0,top
R203,117.1429,-125.1712,180.0,top
R204,119.7356,-115.2671,270.0,top
R207,157.48,-79.1464,0.0,top
R208,157.48,-77.4192,0.0,top
R21,108.9152,-37.5412,270.0,top
R213,157.48,-92.9132,0.0,top
R214,157.48,-91.1352,0.0,top
R215,157.48,-89.3572,0.0,top
R216,157.48,-87.63,0.0,top
R217,157.48,-85.9028,0.0,top
R218,157.48,-84.1756,0.0,top
R219,157.48,-82.4992,0.0,top
R22,113.7666,-33.717,270.0,top
R220,157.48,-80.8228,0.0,top
R221,157.48,-105.5116,0.0,top
R222,157.48,-103.6828,0.0,top
R223,157.48,-101.854,0.0,top
R224,157.48,-100.0252,0.0,top
R225,157.48,-98.2472,0.0,top
R226,157.48,-96.4692,0.0,top
R227,157.48,-94.6912,0.0,top
R23,110.1852,-50.546,270.0,top
R24,113.280756,-46.028043,180.0,top
R25,128.9812,-41.1988,90.0,top
R26,135.9916,-41.0464,90.0,top
R27,143.3576,-41.0464,90.0,top
R28,64.1604,-76.0476,0.0,top
R29,64.1604,-77.978,0.0,top
R3,70.7644,-49.3268,270.0,top
R30,70.535,-75.1332,0.0,top
R31,70.104,-72.464,180.0,top
R32,71.882,-61.214,270.0,top
R33,68.7324,-61.214,90.0,top
R34,80.264,-61.214,90.0,top
R35,79.6544,-58.3692,180.0,top
R36,69.6422,-80.8717,90.0,top
R37,73.4014,-80.8717,90.0,top
R38,71.5218,-80.8717,90.0,top
R39,75.281,-80.8717,90.0,top
R4,67.3608,-44.3484,0.0,top
R40,72.2884,-115.1636,270.0,top
R41,71.0946,-100.8888,270.0,top
R42,84.1756,-116.1288,270.0,top
R43,95.7072,-116.078,270.0,top
R44,95.7072,-112.2661,90.0,top
R45,84.1756,-112.268,90.0,top
R46,131.113,-151.4348,180.0,top
R47,131.113,-148.336,180.0,top
R48,137.764,-131.1129,270.0,top
R49,146.764,-131.1129,270.0,top
R5,63.7032,-44.3484,0.0,top
R50,140.764,-131.1129,270.0,top
R51,143.764,-131.1129,270.0,top
R52,157.861,-140.0934,90.0,top
